numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200817626D;MATERAIUX AVANCES ET COMPOSANTS PASSIFS PERFORMANTS INTEGRABLES DANS UNE TECHNOLOGIE CMOS;ERTint1084;Inactive;2008;2011;Equipe interne;1;1;;;;
199818414D;Division Fonctionnement et Durabilité des Ouvrages d'Art;LCPC/FDOA;Inactive;1998;2010;Département (niveau 3 - structure collaborative);14;3;;;;
201119449X;Groupe d'imagerie neurofonctionnelle;GIN;Inactive;2011;2015;Unité mixte;22;2;201622186A;F;fusion;2016
201119462L;Sommeil, Addiction et Neuropsychiatrie;SANPSY;Active;2011;;Unité mixte;22;2;;;;
200719521T;ALIMENTS ET PROCÉDÉS (SCIENCES ET TECHNOLOGIES INTÉGRÉES POUR L'ALIMENTATION);AP;Inactive;2007;2013;Structures Fédératives de Recherche;3;3;;;;
201119525E;PÔLE DE FORMATION ET DE RECHERCHE SHS (SCIENCES HUMAINES ET SOCIALES) : ENTREPRISE ET FORMATION;FED4159;Inactive;2011;2014;Structures Fédératives de Recherche;3;3;;;;
201119529J;ESPACES, FRONTIERES, METISSAGES;EFM;Inactive;2011;2018;Structures Fédératives de Recherche;3;3;;;;
201119534P;MANUSCRITS, EDITIONS, TECHNOLOGIES DE L'INFORMATION, LINGUISTIQUE, ET DOCUMENT ELECTRONIQUE;METILDE;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
200719538L;MATIERE ET NANOSCIENCES;FR2106;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
201119542Y;SANTE ET SOCIETE;FED4192;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
201119545B;INSTITUT SUPÉRIEUR POUR L'ETUDE DES RELIGIONS ET DE LA LAÏCITÉ - FED 4147;ISERL;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
198517722H;Laboratoire de Psychologie de la Conduite;LPC;Inactive;1985;2018;Unité propre;21;2;201922974U;F;fusion;2019
199017932P;Physiologie de la Nutrition et du Comportement Alimentaire;PNCA;Active;1990;;Unité mixte;22;2;;;;
200317643U;AGroécologie, Innovations, teRritoires;AGIR;Active;2003;;Unité mixte;22;2;;;;
200918500Z;Institut des Neurosciences Cellulaires et Intégratives (UPR 3212);INCI;Active;2009;;Unité propre;21;2;;;;
200918506F;Epigénétique et destin cellulaire;;Active;2009;;Unité mixte;22;2;;;;
198217767V;Unité Expérimentale Recherches Intégrées - Gotheron;UERI;Active;1982;;Unité propre;21;2;;;;
199417773Z;Génétique et Biomasse Forestières ORléans;GBFOR;Active;1994;;Unité propre;21;2;;;;
196217779V;Unité Expérimentale sur les Systèmes Maraîchers Agroécologiques;;Active;1975;;Unité propre;21;2;;;;
196417782P;Unité Expérimentale de Bourges;P3R;Active;1969;;Unité propre;21;2;;;;
201019137M;HYPERTENSION ARTÉRIELLE PULMONAIRE : PHYSIOPATHOLOGIE ET INNOVATION THÉRAPEUTIQUE;UMR_S999;Inactive;2010;2014;Unité mixte;22;2;201521296M;F;fusion;2015
201019139P;CENTRE D'ÉTUDES DE LA SENSORI-MOTRICITÉ;CESEM;Inactive;2010;2013;Unité mixte;22;2;201420757F;EF;éclatement - fusion;2014
201019141S;Imagerie Moléculaire In Vivo;IMIV;Inactive;2015;2019;Unité mixte;22;2;202023520H;F;fusion;2020
201019158K;Prévention et traitement de la perte protéique musc ulaire en situation de résistance à l'anabolisme;PRETRRAM;Active;2010;;Unité propre;21;2;;;;
201019159L;HOMEOSTASIE CELLULAIRE ET CANCER : REPROGRAMMATION DES REPONSES BIOLOGIQUES ET THERAPIES ALTERNATIVES;U 1007;Inactive;2010;2019;Unité mixte;22;2;;;;
201019162P;CENTRE DE RECHERCHE EN LITTERATURE COMPAREE;CRLC;Active;2010;;Unité propre;21;2;;;;
198817946N;Bactéries Lactiques et  Pathogènes Opportunistes;UBLO;Inactive;1988;2010;Unité propre;21;2;;;;
199018081B;Plate-Forme d'Analyse et de microséquençage des protéines;5425;Inactive;1990;2011;Unité propre;21;2;;;;
199018083D;Unité de Résonance magnétique nucléaire des biomolécules;24209;Inactive;1990;2000;Unité mixte;22;2;200121886P;R;renouvellement;2001
200218084C;Plate-Forme de Biophysique Moléculaire;;Active;2002;;Unité propre;21;2;;;;
200218085D;Plate-Forme Cristallographie;;Active;2002;;Unité propre;21;2;;;;
200218086E;Unité Biochimie des interactions macromoléculaires;;Inactive;2002;2014;Unité mixte;22;2;201521909D;R;renouvellement;2015
200818087E;Unité de Chimie des biomolécules;;Active;2008;;Unité propre;21;2;;;;
200018088R;Plate-forme protéomique;;Inactive;2000;2017;Unité mixte;22;2;;;;
200018089S;Unité de Bio-Informatique structurale;24203;Inactive;2001;2014;Unité mixte;22;2;201521901V;R;renouvellement;2015
200118092R;Unité de Dynamique du génome;;Inactive;2001;2013;Unité mixte;22;2;201421914N;R;renouvellement;2014
200818095N;Unité de Biologie des bactéries intracellulaires;;Active;2008;;Unité propre;21;2;;;;
200918511L;Culture et Histoire dans l'Espace Roman (EA 4376 - UR 4376 depuis 01.01.2020);CHER;Active;2009;;Unité propre;21;2;;;;
200918519V;PATRIMOINES LOCAUX ET GOUVERNANCE;PaLoc;Active;2009;;Unité mixte;22;2;;;;
199218201Y;Collection Nationale de Cultures de Micro-organismes;;Active;1992;;Equipe interne;1;1;;;;
200718212V;Trypanosomes;;Inactive;2007;2011;Unité propre;21;2;;;;
197717799B;Laboratoire d'Écophysiologie des Plantes sous Stress environnementaux;LEPSE;Active;1977;;Unité mixte;22;2;;;;
200517800F;Etude du Polymorphisme des Génomes Végétaux;EPGV;Active;2005;;Unité propre;21;2;;;;
201019187S;CENTRE INTERNATIONAL DE RECHERCHE  PHILOSOPHIE, LETTRES, SAVOIRS;CIRPHLES;Inactive;2010;2013;Structures Fédératives de Recherche;3;3;;;;
201019188T;INSTITUT DE RECHERCHES PLURIDISCIPLINAIRES EN SCIENCES DE L'ENVIRONNEMENT;IREPSE;Active;2010;;Structures Fédératives de Recherche;3;3;;;;
200919203N;Astrophysique, Interprétation, Modélisation;AIM;Active;2005;;Unité mixte;22;2;;;;
200919206S;INSTITUT DE LA VISION;UM80;Inactive;2009;2009;Unité mixte;22;2;;;;
200518003B;CIC - BIOTHERAPIE - MARSEILLE;CBT000510;Inactive;2005;2014;Structures Fédératives de Recherche;3;3;;;;
200218005S;CIC ROUEN;CIC000204;Inactive;2002;2013;Structures Fédératives de Recherche;3;3;200821524R;R;renouvellement;2014
200818006S;CIC POITIERS;CIC000802;Active;2008;;Unité mixte;22;2;;;;
200818007T;CIC DIJON;CIC000803;Inactive;2008;2011;Structures Fédératives de Recherche;3;3;;;;
200818010W;CENTRE D'INVESTIGATION CLINIQUE - EPIDEMIOLOGIE CLINIQUE/ESSAIS CLINIQUES HOPITAL BICHAT - CLAUDE BERNARD;CIE000801;Inactive;2008;2011;Structures Fédératives de Recherche;3;3;;;;
200818011X;CENTRE D'INVESTIGATION CLINIQUE - EPIDEMIOLOGIE CLINIQUE / ESSAIS CLINIQUES ANTILLES-GUYANE;CIE000802;Inactive;2008;2009;Structures Fédératives de Recherche;3;3;;;;
200818018E;CIT-IT LILLE;CIT000807;Inactive;2008;2011;Structures Fédératives de Recherche;3;3;;;;
200818019F;CIC-IT BESANCON;CIT000808;Inactive;2008;2011;Structures Fédératives de Recherche;3;3;;;;
199418020T;COEUR - POUMONS - VAISSEAUX - THROMBOSE;IFR000004;Inactive;1994;2010;Structures Fédératives de Recherche;3;3;;;;
200318022F;INSTITUT DE PHYSIOPATHOLOGIE HUMAINE DE MARSEILLE;IPHM;Inactive;2003;2011;Structures Fédératives de Recherche;3;3;;;;
198818096B;Groupe Logiciels et banques de données;3790;Inactive;1988;2010;Equipe interne;1;1;;;;
200018097A;Plate-Forme 2 - Puces à ADN;1042;Inactive;2000;2000;Unité propre;21;2;;;;
198618099N;Unité de Génétique des génomes bactériens;3845;Inactive;1986;2009;Unité propre;21;2;;;;
199318101K;Unité de Génétique mycobactérienne;24311;Inactive;1993;2005;Unité propre;21;2;200621885S;R;renouvellement;2006
200518109S;Unité de physique des systèmes biologiques;;Inactive;2010;2013;Unité mixte;22;2;;;;
200418918A;Service des Systemes d'Informations Scientifiques pour la MER;PDG-DOP-DCB-IDM-SISMER;Inactive;2004;2011;Unité propre;21;2;;;;
200418923F;Laboratoire de Physique des Oceans;PDG-DOP-DCB-OPS-LPO;Inactive;2004;2011;Unité propre;21;2;;;;
200718215Y;Aquaculture et gestion des ressources aquatiques;;Inactive;2007;2011;Unité propre;21;2;;;;
200718229N;Biomasse-énergie;;Inactive;2007;2012;Unité propre;21;2;201321279C;F;fusion;2013
200919319P;CENTRE DE RECHERCHE D'ALBI EN GENIE DES PROCEDES DES SOLIDES DIVISES, DE L'ENERGIE ET DE L'ENVIRONNEMENT;;Inactive;2009;2011;Unité mixte;22;2;;;;
200019323H;LABORATOIRE DE GENIE DES PROCEDES CATALYTIQUES;LGPC;Inactive;2011;2020;Unité mixte;22;2;202123703C;F;fusion;2021
200919209V;REHABILITATION CHIRURGICALE MINI-INVASIVE ET ROBOTISEE DE L'AUDITION;;Active;2009;;Unité mixte;22;2;;;;
200919215B;CENTRE DE RECHERCHES INTERDISCIPLINAIRES EN SCIENCES HUMAINES ET SOCIALES DE MONTPELLIER;CRISES;Active;2009;;Unité propre;21;2;;;;
200919005Y;Neurosciences Mathématique et Computationnelle;NEUROMATHCOMP;Inactive;2009;2015;Unité propre;21;2;;;;
200418627J;AGRICULTURE ET ESPACE INSULAIRE;AEMA;Inactive;2004;2013;Unité propre;21;2;;;;
199818411A;LCPC/Division Eau;LCPC/Eau;Inactive;1998;2010;Département (niveau 3 - structure collaborative);14;3;;;;
199818412B;LCPC/Division Entretien, Sécurité et Acoustique des Routes;LCPC/ESAR;Inactive;1998;2010;Département (niveau 3 - structure collaborative);14;3;;;;
200418933S;Departement Ecologie et Modeles pour l'Halieutique;PDG-DOP-DCN-EMH;Inactive;2004;2011;Département (niveau 3 - structure collaborative);14;3;;;;
200418935U;Laboratoire National de Reference;PDG-DOP-DCN-EMP-LNR;Inactive;2004;2011;Unité propre;21;2;;;;
200418939Y;Laboratoire Ressources Halieutiques d'Aquitaine;PDG-DOP-DCN-HGS-LRHAQ;Inactive;2004;2011;Unité propre;21;2;;;;
200617520X;LABORATOIRE PSYCHOLOGIE DE LA PERCEPTION;FRE2929;Inactive;2006;2007;Unité mixte;22;2;;;;
200217521R;REGULATION DE LA  TRANSCRIPTION ET MALADIES GENETIQUES;UPR2228;Inactive;2002;2009;Unité mixte;22;2;;;;
200317531X;Centre d'études spatiales de la biosphère;CESBIO;Active;2001;;Unité mixte;22;2;;;;
199719337L;Laboratoire Leprince-Ringuet;LLR;Active;1997;;Unité mixte;22;2;;;;
199719340P;Centre de mathématiques appliquées;CMAP;Active;1997;;Unité mixte;22;2;;;;
199719345V;Laboratoire de physique des interfaces et des couches minces;LPICM;Active;1997;;Unité mixte;22;2;;;;
199719346W;Laboratoire de mécanique des solides;LMS;Active;1997;;Unité mixte;22;2;;;;
199719350A;Biomolecular structures of the cell;BIOC;Active;1997;;Unité mixte;22;2;;;;
200919362L;Biologie des organismes et écosystèmes aquatiques;BOREA;Active;2009;;Unité mixte;22;2;;;;
200317650B;LABORATOIRE D'ANALYSE DES SYSTEMES DE SANTE  (AVEC LE CENTRE LEON BERARD);FRE2747;Inactive;2003;2006;Unité mixte;22;2;"200715373J;200716167X";"EF;E";"éclatement - fusion;éclatement";"2007;2007"
200815539K;LINGUISTIQUE - DIDACTIQUE - FRANCOPHONIE;LIDIFRA;Inactive;2008;2011;Unité propre;21;2;201220359G;F;fusion;2012
200815558F;Laboratoire Interdisciplinaire de Droit, Médias et Mutations Sociales;LID2MS;Active;2008;;Unité propre;21;2;;;;
198216711X;EQUIPE DE RECHERCHE D'ANTHROPOLOGIE SOCIALE : MORPHOLOGIE, ECHANGES;UPR262;Inactive;1982;2001;Unité mixte;22;2;;;;
199316714C;LABORATOIRE DE NEUROBIOLOGIE CELLULAIRE;UPR9009;Inactive;1993;2000;Unité mixte;22;2;;;;
200617537R;MATERIAUX THERAPEUTIQUES : MAÎTRISE DES ETATS AMORPHES;ERTint1066;Inactive;2006;2009;Equipe interne;1;1;;;;
200117955S;Virologie;;Active;2001;;Unité mixte;22;2;;;;
198217965K;Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie;MISTEA;Active;1983;;Unité mixte;22;2;;;;
200817660R;INSTABILITE DU GENOME ET CANCEROGENESE;UPR3081;Inactive;2008;2011;Unité propre;21;2;;;;
200317666U;USC Symbioses Tropicales et Méditerranéennes;USTM;Inactive;2003;2011;Unité mixte;22;2;;;;
200717669E;Laboratoire Montpellierain d'Economie Théorique et Appliquée;LAMETA;Inactive;1999;2017;Unité mixte;22;2;"201822742W;201822748C";"R;S";"renouvellement;essaimage";"2018;2018"
200717674K;UMAN-LAB - USAGES, MARCHÉS, ATTITUDES ET NOUVELLES TECHNOLOGIES;ERT65;Inactive;2007;2010;Unité mixte;22;2;;;;
200918527D;THÉRAPIE DES MALADIES DU MUSCLE STRIÉ;UM76;Inactive;2009;2008;Unité mixte;22;2;200616450J;R;renouvellement;2009
199716717N;APPLICATIONS BIOLOGIQUES ET MEDICALES DE LA RESONANCE MAGNETIQUE NUCLEAIRE ET GENIE BIOLOGIQUE ET MEDICAL;UPESA7004;Inactive;1997;2000;Unité mixte;22;2;;;;
200016724H;PROTEASES ET VECTORISATION;EMI10;Inactive;2000;2003;Unité mixte;22;2;;;;
199916731V;PHYSIOLOGIE DES REGULATIONS ENERGETIQUES CELLULAIRES ET MOLECULAIRES;ERS2019;Inactive;1999;2000;Unité mixte;22;2;;;;
199816733B;EXPRESSIONS ESTHETIQUES DE L'IDENTITE ALLEMANDE EN CONTEXTE EUROPEEN : THEATRE, OPERA, LYRISME ( XVII`me-XX`me si`cles );UPESA8060;Inactive;1998;2001;Unité mixte;22;2;;;;
199216737G;CHAIRE DE SOCIOLOGIE ( en commun avec EHESS );ER202;Inactive;1992;2000;Unité propre;21;2;;;;
199716741P;MECANISMES MOLECULAIRES DES COMMUNICATIONS CELLULAIRES;UPR9023;Inactive;1997;2002;Unité mixte;22;2;200317119Z;E;éclatement;2003
200016746G;LABORATOIRE DE PSYCHOLOGIE COGNITIVE;FRE2071;Inactive;2000;2001;Unité mixte;22;2;;;;
199616751E;PHYSICOCHIMIE DES MEMBRANES BIOLOGIQUES;UPR9052;Inactive;1996;2000;Unité mixte;22;2;;;;
196916753Z;LABORATOIRE DE CRISTALLOGRAPHIE ET MODELISATION DES MATERIAUX MINERAUX ET BIOLOGIQUES;UPESA7036;Inactive;1969;2000;Unité mixte;22;2;;;;
199216756C;CHAIRE D'HISTOIRE DE LA CREATION ARTISTIQUE EN FRANCE;ER209;Inactive;1992;2000;Unité propre;21;2;;;;
200317193E;CENTRE DE RECHERCHE SUR LES MATERIAUX CIMENTAIRES;ERT45;Inactive;2003;2005;Unité propre;21;2;;;;
200117196S;ONTOGENESE ET PHYSIOPATHOLOGIEDES CELLULES DENTRITIQUYES;EMI13;Inactive;2001;2004;Unité mixte;22;2;;;;
200317198K;TISSU OSSEUX ET CONTRAINTES MECANIQUES;EMI366;Inactive;2003;2006;Unité mixte;22;2;;;;
200317200M;RADIOPHARMACEUTIQUES BIOCLINIQUES;EMI340;Inactive;2003;2006;Unité mixte;22;2;;;;
200617701U;Ecole d'économie de Paris;EEP;Active;2006;;Réseau thématique de recherche avancée;8;3;;;;
198518204G;Laboratoire Génie des Réseaux de Transport Terrestres et Informatique Avancée;GRETTIA;Inactive;1985;2017;Unité propre;21;2;;;;
200918996N;Complex Flow Simulation Codes based on High-order and Adaptive methods;CONCHA;Inactive;2009;2013;Unité propre;21;2;;;;
200718999A;Détermination de Formes Et Identification;DEFI;Active;2009;2021;Unité propre;21;2;;;;
200919009C;Analyses et construction de langage pour l'évolution d'applications orientées Objet;RMOD;Active;2009;2021;Unité propre;21;2;;;;
201019168W;LES CELLULES SOUCHES : DE LEURS NICHES AUX APPLICATIONS THÉRAPEUTIQUES;UMR_S972;Inactive;2010;2014;Unité mixte;22;2;201521289E;F;fusion;2015
200217978M;Dynamiques Forestières dans l'Espace Rural;DYNAFOR;Inactive;2002;2002;Unité propre;21;2;200317657J;R;renouvellement;2003
200518114X;Groupe à 5 ans des Dynamiques des réponses immunes;;Inactive;2005;2009;Unité mixte;22;2;;;;
199918117B;Cytokines et développement lymphoïde/ physiopathologie du sythème immunitaire;U668;Inactive;1999;2015;Unité mixte;22;2;201622494K;R;renouvellement;2016
200118127D;Unité des Cytokines et inflammation;;Inactive;2006;2017;Unité propre;21;2;;;;
200918535M;Molécules Thérapeutique in silico;MTi;Inactive;2009;2018;Unité mixte;22;2;;;;
200918545Y;EPIDEMIOLOGIE, STRATEGIES THERAPEUTIQUES ET VIROLOGIE CLINIQUES DANS L'INFECTION A VIH;UMR_S943;Inactive;2009;2013;Unité mixte;22;2;201420917E;EF;éclatement - fusion;2014
200818240W;Systèmes de culture annuels;SCA;Inactive;2008;2013;Unité propre;21;2;;;;
200117211H;GENETIQUE ET BIOCHIMIE DES MICRO-ORGANISMES;URA2172;Inactive;2001;2004;Unité mixte;22;2;;;;
200017218V;ERT 1000 RELATIONS NANOSTRUCTURES-PROPRIÉTÉS DES MATÉRIAUX INDUSTRIELS;ERTint1000;Inactive;2000;2007;Unité mixte;22;2;;;;
200417221F;AMÉNAGEMENT DES TEMPS DE VIE ET COMPORTEMENT HUMAIN;ERTint1053;Inactive;2004;2007;Unité propre;21;2;;;;
199817225L;ARCHEOZOOLOGIE ET HISTOIRE DES SOCIETES;UPESA8045;Inactive;1998;2002;Unité mixte;22;2;;;;
196317869N;Médicaments et Technologies pour la Santé;MTS;Active;1963;;Unité mixte;22;2;;;;
201019283W;Génétique Moléculaire et Destin cellulaire;;Inactive;2011;2014;Unité mixte;22;2;201521299R;EF;éclatement - fusion;2015
201019284X;GENOMIQUE FONCTIONNELLE ET BIOLOGIE SYSTEMIQUE POUR LA SANTE;;Inactive;2010;2011;Unité propre;21;2;;;;
200919286D;Environnement, Santé, Sociétés;ESS;Active;2009;;Unité mixte internationale;23;2;;;;
200819287J;Center for international research in the humanities and social sciences;CIRHUS;Inactive;2008;2017;Unité propre;21;2;;;;
200417441V;LABORATOIRE DE MICROÉLECTRONIQUE ISMRA PHILIPS;ERT56;Inactive;2004;2007;Unité propre;21;2;;;;
200018129K;Centre médical;;Active;2000;;Equipe interne;1;1;;;;
195018131E;Unité de Mycologie moléculaire;;Inactive;2006;2016;Unité mixte;22;2;201722520J;R;renouvellement;2017
200318139H;Unité des Insectes et maladies infectieuses;5730;Inactive;2003;2015;Unité mixte;22;2;;;;
200418947G;Departement Halieutique Mediterraneen et Tropical;PDG-DOP-DCM-HMT;Inactive;2004;2011;Département (niveau 3 - structure collaborative);14;3;;;;
200418948H;Laboratoire Ressources Halieutiques de Sete;PDG-DOP-DCM-HMT-RHSETE;Inactive;2004;2011;Unité propre;21;2;;;;
200418952M;Departement Halieutique de Manche-Mer du Nord;PDG-DOP-DCMMN-HMMN;Inactive;2004;2011;Unité propre;21;2;;;;
200718256T;Modélisation, contrôle et calcul;MC2;Inactive;2007;2014;Unité propre;21;2;;;;
200318266W;Contrôle-commande temps réel sûr;POP ART;Inactive;2003;2012;Unité propre;21;2;;;;
200418268U;Compilation et systèmes embarqués de calcul;COMPSYS;Inactive;2004;2016;Unité propre;21;2;;;;
200418270W;Géométrie et probabilité pour le mouvement et l'action;E-MOTION;Inactive;2004;2014;Unité propre;21;2;;;;
199818277E;Arithmétique des ordinateurs;ARENAIRE;Inactive;1998;2011;Unité propre;21;2;;;;
200718280U;Algorithmes pour analyse à grande échelle de séquences biologiques;SEQUOIA;Inactive;2007;2009;Unité propre;21;2;;;;
200718281V;Sequential Learning;SEQUEL;Inactive;2007;2020;Unité propre;21;2;;;;
199917876P;Sciences Pour l'Oenologie;SPO;Inactive;1999;2000;Unité mixte;22;2;;;;
199817879X;Mycologie et Sécurité des Aliments;MycSA;Active;1998;;Unité propre;21;2;;;;
199917888C;Ingénierie des Agropolymères et Technologies Emergentes;IATE;Inactive;1999;2002;Unité mixte;22;2;200317667V;R;renouvellement;2003
200417891J;Écologie Fonctionnelle et Physique de l'Environnement;;Inactive;2004;2013;Unité propre;21;2;;;;
199817895P;Biologie des Organismes et des Populations Appliquée à la Protection des Plantes;BIO3P;Inactive;1998;2011;Unité propre;21;2;"201220379D;201220379D";"F;I";"fusion;intégration";"2012;2012"
200017896G;Production du Lait;UMRPL;Inactive;2000;2011;Unité propre;21;2;;;;
201119368J;LABORATOIRE DU STRESS TRAUMATIQUE;LST;Inactive;2011;2015;Unité propre;21;2;;;;
199017451S;INSTITUT DE CHIMIE DE LA MATIERE CONDENSEE DE BORDEAUX;ICMCB;Active;1995;;Unité mixte;22;2;;;;
200717453V;INTERACTIVITE NUMERIQUE;ERTint1073;Inactive;2007;2010;Equipe interne;1;1;;;;
200418965B;Departement Aquaculture en Polynesie;PDG-DOP-DCOP-AQUAPOL;Inactive;2004;2011;Département (niveau 3 - structure collaborative);14;3;;;;
200418966C;Laboratoire Domestication de l'Huitre Perliere;PDG-DOP-DCOP-AQUAPOL-LDHP;Inactive;2004;2011;Unité propre;21;2;;;;
200617554J;CULTURE INFORMATIONNELLE ET CURRICULUM DOCUMENTAIRE;ERTint1068;Inactive;2006;2009;Equipe interne;1;1;;;;
200117557J;INTERFACE MATRICE EXTRACELLULAIRE ET BIOMATERIAU : PROJET CIMENT DENTAIRE;ERT30;Inactive;2001;2005;Unité propre;21;2;;;;
200717563P;VACCINATION ANTIPARASITAIRE;ERT1038;Inactive;2007;2010;Unité propre;21;2;;;;
201019324R;LABORATOIRE REACTIONS ET GENIE DES PROCEDES;LRGP;Inactive;2010;2012;Unité mixte;22;2;;;;
201119412G;LABORATOIRE D'OPTIMISATION DE LA CONCEPTION ET INGÉNIERIE DE L'ENVIRONNEMENT;LOCIE;Active;2011;;Unité mixte;22;2;;;;
199517675N;Infections Virales et Pathologie Comparée;IVPC;Active;1983;;Unité mixte;22;2;;;;
200717676M;PHARMACOLOGIE ET IMAGERIE DE LA NEUROTRANSMISSION SEROTONINERGIQUE;FRE3006;Inactive;2007;2008;Unité mixte;22;2;;;;
201119379W;GROUPE DE RECHERCHE SUR LA THROMBOSE, PHARMACOLOGIE DES ANTITHROMBOTIQUES ET SITUATIONS A RISQUE;UR4672;Inactive;2011;2015;Unité propre;21;2;201622149K;F;fusion;2016
201119385C;DÉVELOPPEMENTS ANALYTIQUES ET PHARMACEUTIQUES APPLIQUÉS AUX MALADIES NÉGLIGÉES ET AUX CONTREFAÇONS;DAPMN;Inactive;2011;2015;Unité propre;21;2;201622171J;F;fusion;2016
201019074U;ULR 4483 - IMPECS - IMPACT DE L'ENVIRONNEMENT CHIMIQUE SUR LA SANTÉ;;Active;2002;;Unité propre;21;2;"202023551S;202023551S;202023551S";"EF;S;SF";"éclatement - fusion;essaimage;essaimage-fusion";"2020;2020;2020"
200918438G;LABORATOIRE DE MÉCANIQUE BIOMÉCANIQUE POLYMÈRE STRUCTURES;EA4362;Active;2009;;Unité mixte;22;2;;;;
199215599V;LABORATOIRE  SANTE PUBLIQUE ET EPIDEMIOLOGIE DES DETERMINANTS PROFESSIONNELS ET SOCIAUX DE LA SANTE.;UMR_S88;Inactive;2002;2009;Unité mixte;22;2;;;;
199715637P;IMMUNOLOGIE CELLULAIRE ET CLINIQUE;UMR_S255;Inactive;2001;2006;Unité mixte;22;2;200716512X;F;fusion;2007
199215681J;GENETIQUE ET MECANISMES DES MALADIES DU FOIE DE L'ENFANT;UMR_S347;Inactive;2002;2005;Unité mixte;22;2;200616462X;F;fusion;2006
199315708J;ONTOGENESE ET PATHOLOGIE DU SYSTEME DIGESTIF;UMR_S381;Inactive;2001;2004;Unité mixte;22;2;;;;
199415724X;PSYCHOPATHOLOGIE ET PHARMACOLOGIE DE LA COGNITION;UMR_S405;Inactive;2001;2004;Unité mixte;22;2;;;;
200817576Z;HYDROGEOLOGIE, ARGILES, SOLS ET ALTERATIONS;FRE3114;Inactive;2008;2009;Unité mixte;22;2;;;;
199517580K;LABORATOIRE DE CHIMIE BACTERIENNE;LCB;Inactive;1995;2011;Unité propre;21;2;;;;
200717988B;Tissus Animaux, Nutrition, Digestion, Ecosystème et Métabolisme;TANDEM;Inactive;2007;2013;Unité propre;21;2;201421780T;F;fusion;2014
200817993C;Laboratoire d'Etudes et de Recherches en Economie sur les Structures et Marchés Agricoles, Ressources et Territoires;;Active;2008;;Unité mixte;22;2;;;;
200918453Y;ÉCRITURES DE LA MODERNITÉ LITTÉRATURE ET SCIENCES HUMAINES;EA4400;Inactive;2009;2013;Unité propre;21;2;200918552F;I;intégration;2014
200918455A;ARCHITECTURE, URBANISME, SOCIETES;FRE3221;Inactive;2009;2009;Unité mixte;22;2;;;;
200617696N;Centre international de recherche aux frontières de la chimie;FRC;Active;2006;;Réseau thématique de recherche avancée;8;3;;;;
200918558M;Centre de recherche en paléontologie - Paris;CR2P;Active;2009;;Unité mixte;22;2;;;;
201019091M;LABORATOIRE MECASURF;MECASURF;Inactive;2010;2013;Unité propre;21;2;201320885Z;EF;éclatement - fusion;2014
201119605S;IFRESIS INSTITUT FEDERATIF DE RECHERCHE EN SCIENCES ET INGENIERIE DE LA SANTE;;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
201119607U;TERRITOIRES, MUTATIONS, INNOVATION, SOCIETE -FED4167;TEMIS;Inactive;2011;2015;Structures Fédératives de Recherche;3;3;;;;
200318282N;Agir et collaborer sur des objets virtuels complexes;ALCOVE;Inactive;2003;2009;Unité propre;21;2;;;;
201019612D;Algorithmes d'apprentissage évolutionnaires avancés;ALEA;Inactive;2009;2013;Unité propre;21;2;;;;
200918988E;Outils de l'Automatique pour le Calcul Scientifique, modèles et Méthodes en Bio-Mathématique;ANUBIS;Inactive;2009;2011;Unité propre;21;2;;;;
200918989F;Langages d'aspects et de composition;ASCOLA;Inactive;2009;2017;Unité propre;21;2;;;;
200918458D;GENETIQUE CARDIOVASCULAIRE;EA4373;Inactive;2009;2012;Unité mixte;22;2;201320745X;R;renouvellement;2013
200918464K;VIEILLISSEMENT, STRESS, INFORMATION;EA4406;Inactive;2009;2013;Unité propre;21;2;;;;
200418146L;Unité Yersinia;;Active;2004;;Unité propre;21;2;;;;
200818148W;Unité de Pathogenèse de Helicobacter;;Active;2008;;Unité propre;21;2;;;;
200418149P;Unité de Biologie moléculaire du gène chez les extrêmophiles;;Inactive;2004;2019;Unité propre;21;2;;;;
