numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199313556V;GENIE DES PROCEDES ALIMENTAIRES ET BIOTECHNOLOGIQUES;EA1684;Inactive;1993;2006;Unité propre;21;2;200715421L;EF;éclatement - fusion;2007
199213564H;CENTRE DE RECHERCHE EN GESTION;CEREGE;Active;1992;;Unité mixte;22;2;;;;
199213565J;LABORATOIRE D'ETUDES DES ECHANGES PARTICULAIRES AUX INTERFACES (LEPI);EA1723;Inactive;1992;2003;Unité propre;21;2;200415079C;EF;éclatement - fusion;2004
199213572S;CENTRE DE GENIE CHIMIQUE DES MILIEUX RHEOLOGIQUEMENT COMPLEXES -;GEMICO;Inactive;1992;2012;Unité mixte;22;2;201320573K;F;fusion;2013
199313574P;GROUPE D'ETUDE DE LA FERTILITE HUMAINE (GREFH);EA1752;Inactive;1993;2005;Unité propre;21;2;;;;
199113592T;LABORATOIRE DES SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION;EA1803;Active;1991;;Unité propre;21;2;;;;
199113593U;CENTRE D'HISTOIRE DE LA PENSEE ECONOMIQUE (CHPE);EA1809;Inactive;1991;2000;Unité propre;21;2;200114738V;EF;éclatement - fusion;2001
199513629R;FACTEURS DE DEFENSE ET DE REGULATION CELLULAIRE (FDRC);EA1915;Inactive;1995;2002;Unité propre;21;2;;;;
199213318R;Troubles cognitifs dégénratifs et vasculaires;U 1171;Active;1992;;Unité propre;21;2;;;;
199213321U;LABORATOIRE D'ETUDES ET DE RECHERCHES APPLIQUEES AU DROIT PRIVE;EA1055;Inactive;1992;2009;Unité propre;21;2;;;;
199213322V;GROUPE D'ETUDES ET DE RECHERCHE EN MANAGEMENT DES ENTREPRISES (GERME);EA1056;Inactive;1992;2005;Unité propre;21;2;200615356V;R;renouvellement;2006
199213336K;LABORATOIRE DE CHIMIE ORGANIQUE (LCO);EA1091;Inactive;1992;2000;Unité propre;21;2;"200114747E;200114748F";"EF;EF";"éclatement - fusion;éclatement - fusion";"2001;2001"
199513667G;CENTRE D'ETUDES STENDHALIENNES ET ROMANTIQUES;EA1982;Inactive;1995;2002;Unité propre;21;2;200315017P;F;fusion;2003
199213668W;CENTRE INTERLANGUE D'ETUDES EN LEXICOLOGIE;EA1984;Inactive;1992;2004;Unité propre;21;2;;;;
199513673N;BASES MOLECULAIRES DE LA PROGRESSION TUMORALE (BMPT);EA2021;Inactive;1995;2002;Unité propre;21;2;;;;
199513685B;LABORATOIRE DE RECHERCHE SUR  LA THROMBOSE;EA2049;Inactive;1995;2006;Unité propre;21;2;200716502L;F;fusion;2007
199513688E;GROUPE DE RECHERCHE EN PRODUCTIQUE ET INFORMATIQUE DES SYSTEMES MANUFACTURIERS(PRISMA);EA2058;Inactive;1995;2006;Unité mixte;22;2;200715369E;EF;éclatement - fusion;2007
199613689B;LABORATOIRE DE MICROANALYSE DES SURFACES;EA2059;Inactive;1996;2007;Unité propre;21;2;;;;
199613690C;LABORATOIRE DE CHRONOMETRIE. ELECTRONIQUE ET PIEZOELECTRICITE;EA2060;Inactive;1996;2003;Unité propre;21;2;200412232H;EF;éclatement - fusion;2004
199613692E;ORGANISATIONS MARCHANDES ET INSTITUTIONS;EA2065;Inactive;1996;2011;Unité propre;21;2;201220367R;EF;éclatement - fusion;2012
199613695H;UNITE DE RECHERCHE VIGNES ET VINS DE CHAMPAGNE - STRESS ET ENVIRONNEMENT;EA2069;Inactive;1996;2011;Unité propre;21;2;201220203M;R;renouvellement;2012
199613707W;LABORATOIRE DE RECHERCHE EN INFORMATIQUE D'AMIENS;EA2083;Inactive;1996;2003;Unité propre;21;2;;;;
199613713C;CENTRE UNIVERSITAIRE DE RECHERCHE EN SCIENCES DE L'EDUCATION ET EN PSYCHOLOGIE;EA2089;Inactive;1996;2007;Unité propre;21;2;200815523T;F;fusion;2008
199613723N;LABORATOIRE ULTRASONS SIGNAUX ET INSTRUMENTATION;EA2102;Inactive;1996;2001;Unité propre;21;2;;;;
199613726S;LABORATOIRE D'ETUDE ET DE RECHERCHE SUR L'ACTION PUBLIQUE;EA2108;Inactive;1996;2017;Unité propre;21;2;201822674X;F;fusion;2018
199213471G;THEORIE GENERALE ET SOURCES DU DROIT : DROIT DES PERSONNES, DES OBLIGATIONS, DU PATRIMOINE ET DE L'ENTREPRISE;EA1480;Inactive;1992;2000;Unité propre;21;2;200114661L;F;fusion;2001
199213480S;ETUDES ANGLOPHONES;EA1492;Inactive;1992;2001;Unité propre;21;2;"200214829P;200214830R";"E;E";"éclatement;éclatement";"2002;2002"
199513639B;LABORATOIRE DE THERMIQUE, ENERGETIQUE ET PROCEDES;LaTEP;Active;1995;;Unité propre;21;2;;;;
199513648L;CENTRE DE DROIT DE LA CONCURRENCE;EA1943;Inactive;1995;2006;Unité propre;21;2;;;;
199513651P;INSTITUT CATALAN DE RECHERCHE EN SCIENCES SOCIALES (ICRESS);EA1948;Inactive;1995;2002;Unité propre;21;2;;;;
199513652R;LABORATOIRE D'HYPERFREQUENCES ET CARACTERISATION;EA1953;Inactive;1995;2006;Unité propre;21;2;;;;
